	claim	lable	link
56	"Pilot Flying J removed American flags from their flagpoles because ""foreigners were offended."""	false	https://www.snopes.com/fact-check/pilot-flying-j-flag-controversy/
57	Each refugee in Canada receives $3,874 every month from the government under the Resettlement Assistance Program.	false	https://www.snopes.com/fact-check/canada-refugee-benefits/
58	Bacteria formed on cut onions and potatoes are responsible for more food poisoning cases than spoiled mayonnaise.	false	https://www.snopes.com/fact-check/cut-onions-contamination/
59	Willie Nelson fell seriously ill in May 2018.	false	https://www.snopes.com/fact-check/willie-nelson-seriously-ill/
60	A new Facebook algorithm only shows posts from about two dozen friends in your newsfeed.	false	https://www.snopes.com/fact-check/new-facebook-algorithm-26-friends/
61	A new Facebook algorithm only shows posts from about two dozen friends in your newsfeed.	false	https://www.snopes.com/fact-check/new-facebook-algorithm-26-friends/
62	The NRA is a tax-exempt nonprofit organization.	True	https://www.snopes.com/fact-check/nra-tax-exempt-non-profit/
63	The White House updated the voice message on the automated telephone comments line to blame Democrats for a government shutdown.	True	https://www.snopes.com/fact-check/white-house-comment-line-trump/
64	Charles and Elizabeth Koch contributed nearly $500,000 to Paul Ryan’s fundraising committee after successfully passing the GOP tax plan in the United States House of Representatives.	True	https://www.snopes.com/fact-check/kochs-contributed-ryan-after-tax/
65	President Trump signed a bill blocking Obama-era background checks on guns for people with mental illnesses.	True	https://www.snopes.com/fact-check/trump-sign-bill-revoking-obama-era-gun-checks-people-mental-illnesses/
66	A photograph captures a couple kissing amidst the 1971 May Day protests.	false	https://www.snopes.com/fact-check/may-day-protests-kiss/
67	"The Boy Scouts of America lost 425,000 members in May 2018, in response to a decision to integrate more girls into the organization, and to give the ""Boy Scouts"" program a new, gender-neutral name."	false	https://www.snopes.com/fact-check/boy-scouts-mormons/
68	A vintage Heineken advertisement showed a toddler drinking a beer and boasted about having the youngest customers in the business.	false	https://www.snopes.com/fact-check/heineken-beer-ad-babies/
69	The mayor of London encouraged muslims to riot during President Donald Trump's visit to the U.K	false	https://www.snopes.com/fact-check/london-mayor-trump-protest/
70	Sarah Huckabee Sanders has lost the confidence of the President and will be replaced.	false	https://www.snopes.com/fact-check/sarah-huckabee-sanders-replaced/
71	"An Oakland A's shortstop laid on his back during the playing of the national anthem, while wearing a shirt reading ""Kill the NRA."""	false	https://www.snopes.com/fact-check/oakland-shortstop-nra-shirt/
72	Doctors concluded that a large spider made its way into a woman's uterus after it got stuck inside her tampon.	false	https://www.snopes.com/fact-check/spider-in-tampon/
73	"First Lady Melania Trump recent ""hit"" her husband with a ""shocking announcement."""	false	https://www.snopes.com/fact-check/melania-hit-donald-trump-shocking-announcement/
74	"Pilot Flying J removed American flags from their flagpoles because ""foreigners were offended."""	false	https://www.snopes.com/fact-check/pilot-flying-j-flag-controversy/
75	The McDonald’s fast food chain announced they will be phasing out the Big Mac by July 1.	false	https://www.snopes.com/fact-check/mcdonalds-menu-big-mac/
76	"In May 2018, the Colorado House of Representatives passed a ""gun confiscation"" bill."	false	https://www.snopes.com/fact-check/colorado-gun-confiscation/
77	A photograph shows President Barack Obama bowing to Iran's supreme leader Ali Khamenei.	false	https://www.snopes.com/fact-check/president-obama-bow-ayatollah-khamenei/
78	"Pilot Flying J removed American flags from their flagpoles because ""foreigners were offended."""	false	https://www.snopes.com/fact-check/pilot-flying-j-flag-controversy/
79	Each refugee in Canada receives $3,874 every month from the government under the Resettlement Assistance Program.	false	https://www.snopes.com/fact-check/canada-refugee-benefits/
80	Bacteria formed on cut onions and potatoes are responsible for more food poisoning cases than spoiled mayonnaise.	false	https://www.snopes.com/fact-check/cut-onions-contamination/
81	Willie Nelson fell seriously ill in May 2018.	false	https://www.snopes.com/fact-check/willie-nelson-seriously-ill/
82	A new Facebook algorithm only shows posts from about two dozen friends in your newsfeed.	false	https://www.snopes.com/fact-check/new-facebook-algorithm-26-friends/
83	A new Facebook algorithm only shows posts from about two dozen friends in your newsfeed.	false	https://www.snopes.com/fact-check/new-facebook-algorithm-26-friends/
84	The NRA is a tax-exempt nonprofit organization.	True	https://www.snopes.com/fact-check/nra-tax-exempt-non-profit/
85	The White House updated the voice message on the automated telephone comments line to blame Democrats for a government shutdown.	True	https://www.snopes.com/fact-check/white-house-comment-line-trump/
86	Charles and Elizabeth Koch contributed nearly $500,000 to Paul Ryan’s fundraising committee after successfully passing the GOP tax plan in the United States House of Representatives.	True	https://www.snopes.com/fact-check/kochs-contributed-ryan-after-tax/
87	President Trump signed a bill blocking Obama-era background checks on guns for people with mental illnesses.	True	https://www.snopes.com/fact-check/trump-sign-bill-revoking-obama-era-gun-checks-people-mental-illnesses/
88	A meme circulating online shows the average minimum wages in France, Australia, and the U.S. as well as the average cost of a Big Mac in each country.	false	https://www.snopes.com/fact-check/average-minimum-wages-big-mac-prices/
89	"Major General Paul Eaton said President Trump's decertification of an existing nuclear deal with Iran deal ""dishonors America."""	false	https://www.snopes.com/fact-check/general-eaton-iran-deal/
90	President Trump's decision to reverse the Iran nuclear deal will cost 100,000 Boeing jobs.	false	https://www.snopes.com/fact-check/did-trump-jobs-iran-nuclear-deal/
91	"Police raided a daycare center in Washington, D.C., on suspicion that it was ""pimping children"" to ""high-society pedophiles."""	false	https://www.snopes.com/fact-check/dc-daycare-center-raided/
92	A photograph shows a twelve-pound rat that was caught in London.	false	https://www.snopes.com/fact-check/was-twelve-lb-rat-london/
93	"In May 2018, Pope Francis said people who own guns were ""hypocrites"" and could no longer call themselves Christians."	false	https://www.snopes.com/fact-check/pope-francis-gun-owners/
94	"Parkland school shooting suspect Nikolas Cruz has a ""connection"" to former president Barack Obama and his administration."	false	https://www.snopes.com/fact-check/nikolas-cruz-promise-obama/
95	"The ""Deodorant Challenge"" is ""sweeping"" schools and playgrounds as of May 2018."	false	https://www.snopes.com/fact-check/deodorant-challenge-sweeping-schools-playgrounds/
96	The legalization of marijuana will force police departments to euthanize their drug sniffing dogs.	false	https://www.snopes.com/fact-check/legalizing-marijuana-necessitate-euthanizing-pot-sniffing-dogs/
97	Singer James Blunt once refused to follow orders that could have triggered World War III while serving with the British Army in Kosovo.	false	https://www.snopes.com/fact-check/singer-james-blunt-prevent-world-war-iii/
98	A meme reproduces Donald Trump's explanation of why Abraham Lincoln succeeded as a president.	True	https://www.snopes.com/fact-check/donald-trump-lincoln-success/
99	"Melania Trump plagiarized a document from the Federal Trade Commission for her ""Be Best"" campaign."	false	https://www.snopes.com/fact-check/did-melania-trump-plagiarize-pamphlet/
100	"Pilot Flying J removed American flags from their flagpoles because ""foreigners were offended."""	false	https://www.snopes.com/fact-check/pilot-flying-j-flag-controversy/
101	Each refugee in Canada receives $3,874 every month from the government under the Resettlement Assistance Program.	false	https://www.snopes.com/fact-check/canada-refugee-benefits/
102	Bacteria formed on cut onions and potatoes are responsible for more food poisoning cases than spoiled mayonnaise.	false	https://www.snopes.com/fact-check/cut-onions-contamination/
103	Willie Nelson fell seriously ill in May 2018.	false	https://www.snopes.com/fact-check/willie-nelson-seriously-ill/
104	A new Facebook algorithm only shows posts from about two dozen friends in your newsfeed.	false	https://www.snopes.com/fact-check/new-facebook-algorithm-26-friends/
105	A new Facebook algorithm only shows posts from about two dozen friends in your newsfeed.	false	https://www.snopes.com/fact-check/new-facebook-algorithm-26-friends/
106	The NRA is a tax-exempt nonprofit organization.	True	https://www.snopes.com/fact-check/nra-tax-exempt-non-profit/
107	The White House updated the voice message on the automated telephone comments line to blame Democrats for a government shutdown.	True	https://www.snopes.com/fact-check/white-house-comment-line-trump/
108	Charles and Elizabeth Koch contributed nearly $500,000 to Paul Ryan’s fundraising committee after successfully passing the GOP tax plan in the United States House of Representatives.	True	https://www.snopes.com/fact-check/kochs-contributed-ryan-after-tax/
109	President Trump signed a bill blocking Obama-era background checks on guns for people with mental illnesses.	True	https://www.snopes.com/fact-check/trump-sign-bill-revoking-obama-era-gun-checks-people-mental-illnesses/
110	"Rosie O'Donnell ""pled insanity"" after being caught violating individual election campaign contribution regulations."	false	https://www.snopes.com/fact-check/did-rosie-insanity-campaign-donations/
111	North Korea is now allowing the open practice of Christianity.	false	https://www.snopes.com/fact-check/did-north-korea-open-doors-christianity/
112	Packaged vegetables from Mann Packing are being recalled due to concerns about listeria.	false	https://www.snopes.com/fact-check/mann-packaged-vegetable-recall/
113	Schools are removing analog clocks because students no longer know how to tell time.	false	https://www.snopes.com/fact-check/schools-removing-analog-clocks/
114	"A ""Welcome to Kansas City"" sign features an amusing, but unfortunate typo welcoming 25 million visitors ""anally,"" not ""annually."""	false	https://www.snopes.com/fact-check/does-welcome-sign-kansas-city-typo/
115	"A Democratic U.S. senator from Oregon ""pushed through"" a bill to eliminate all senior and veterans discounts."	false	https://www.snopes.com/fact-check/senior-and-veterans-discounts/
116	The Obama administration failed to secure the release of three men being detained by North Korea in 2018.	false	https://www.snopes.com/fact-check/obama-administration-unable-arrange-release/
117	Ramad Chatman was given a jail sentence for a crime of which he was acquitted.	false	https://www.snopes.com/fact-check/ramad-chatman/
118	The phrase 'I took an arrow in the knee' is old Norse slang for getting married.	false	https://www.snopes.com/fact-check/took-arrow-knee-marriage/
119	A video shows a real animal called the shoebill stork.	True	https://www.snopes.com/fact-check/shoebill-stork-real-animal/
120	Rust causes tetanus.	false	https://www.snopes.com/fact-check/stepping-rusty-nail-cause-tetanus/
121	Two black men, Alize Ramon Smith and Jarron Keonte Moreland of Moore, Oklahoma, were lynched by four white people in April 2018, a crime that was largely ignored by the media.	false	https://www.snopes.com/fact-check/lynched-oklahoma-media/
122	"Pilot Flying J removed American flags from their flagpoles because ""foreigners were offended."""	false	https://www.snopes.com/fact-check/pilot-flying-j-flag-controversy/
123	Each refugee in Canada receives $3,874 every month from the government under the Resettlement Assistance Program.	false	https://www.snopes.com/fact-check/canada-refugee-benefits/
124	Bacteria formed on cut onions and potatoes are responsible for more food poisoning cases than spoiled mayonnaise.	false	https://www.snopes.com/fact-check/cut-onions-contamination/
125	Willie Nelson fell seriously ill in May 2018.	false	https://www.snopes.com/fact-check/willie-nelson-seriously-ill/
126	A new Facebook algorithm only shows posts from about two dozen friends in your newsfeed.	false	https://www.snopes.com/fact-check/new-facebook-algorithm-26-friends/
127	A new Facebook algorithm only shows posts from about two dozen friends in your newsfeed.	false	https://www.snopes.com/fact-check/new-facebook-algorithm-26-friends/
128	The NRA is a tax-exempt nonprofit organization.	True	https://www.snopes.com/fact-check/nra-tax-exempt-non-profit/
129	The White House updated the voice message on the automated telephone comments line to blame Democrats for a government shutdown.	True	https://www.snopes.com/fact-check/white-house-comment-line-trump/
130	Charles and Elizabeth Koch contributed nearly $500,000 to Paul Ryan’s fundraising committee after successfully passing the GOP tax plan in the United States House of Representatives.	True	https://www.snopes.com/fact-check/kochs-contributed-ryan-after-tax/
131	President Trump signed a bill blocking Obama-era background checks on guns for people with mental illnesses.	True	https://www.snopes.com/fact-check/trump-sign-bill-revoking-obama-era-gun-checks-people-mental-illnesses/
132	A photograph shows a purple horned winged lizard.	false	https://www.snopes.com/fact-check/purple-horned-winged-lizard/
133	An arms dealer advertised a weapon for its ability to fit into a small backpack.	True	https://www.snopes.com/fact-check/weapon-advertised-ability-fit-backpack/
134	"A sign in Calvert County, Maryland was erected in May 2018, warning ""liberals"" to arm themselves in the event of attempts to impeach President Donald Trump."	True	https://www.snopes.com/fact-check/maryland-billboard-guns-trump-impeachment/
135	Willie Nelson fell seriously ill in May 2018.	false	https://www.snopes.com/fact-check/willie-nelson-seriously-ill/
136	Nelson Mandela praised President Trump ahead of a South African visit by Barack Obama.	false	https://www.snopes.com/fact-check/nelson-mandela-trump-praise/
137	Michelle Obama, as First Lady, never placed her hand on her heart during the national anthem.	false	https://www.snopes.com/fact-check/michelle-obama-anthem-heart/
138	Neutrogena Makeup Remover Cleansing Towelettes are causing a number of severe allergic reactions.	false	https://www.snopes.com/fact-check/neutrogena-makeup-remover-wipes/
139	President Trump has scrapped plans for constructing a wall along the U.S.-Mexico border in favor of a proposal for a dome.	false	https://www.snopes.com/fact-check/trump-border-dome/
140	"""Love bugs"" are the result of a genetic experiment gone wrong at the University of Florida."	false	https://www.snopes.com/fact-check/love-bugs-origins/
141	Hillary Clinton died suddenly of a previously unknown medical condition.	false	https://www.snopes.com/fact-check/hillary-clinton-rare-disease/
142	Cargo lost in the Titanic's sinking led to the creation of the Cinco de Mayo observance.	false	https://www.snopes.com/fact-check/sinko-de-mayo/
143	The Cinco de Mayo holiday is a celebration of Mexico's achieving independence from Spain.	false	https://www.snopes.com/fact-check/cinco-de-mayo/
144	"Pilot Flying J removed American flags from their flagpoles because ""foreigners were offended."""	false	https://www.snopes.com/fact-check/pilot-flying-j-flag-controversy/
145	Each refugee in Canada receives $3,874 every month from the government under the Resettlement Assistance Program.	false	https://www.snopes.com/fact-check/canada-refugee-benefits/
146	Bacteria formed on cut onions and potatoes are responsible for more food poisoning cases than spoiled mayonnaise.	false	https://www.snopes.com/fact-check/cut-onions-contamination/
147	Willie Nelson fell seriously ill in May 2018.	false	https://www.snopes.com/fact-check/willie-nelson-seriously-ill/
148	A new Facebook algorithm only shows posts from about two dozen friends in your newsfeed.	false	https://www.snopes.com/fact-check/new-facebook-algorithm-26-friends/
149	A new Facebook algorithm only shows posts from about two dozen friends in your newsfeed.	false	https://www.snopes.com/fact-check/new-facebook-algorithm-26-friends/
150	The NRA is a tax-exempt nonprofit organization.	True	https://www.snopes.com/fact-check/nra-tax-exempt-non-profit/
151	The White House updated the voice message on the automated telephone comments line to blame Democrats for a government shutdown.	True	https://www.snopes.com/fact-check/white-house-comment-line-trump/
152	Charles and Elizabeth Koch contributed nearly $500,000 to Paul Ryan’s fundraising committee after successfully passing the GOP tax plan in the United States House of Representatives.	True	https://www.snopes.com/fact-check/kochs-contributed-ryan-after-tax/
153	President Trump signed a bill blocking Obama-era background checks on guns for people with mental illnesses.	True	https://www.snopes.com/fact-check/trump-sign-bill-revoking-obama-era-gun-checks-people-mental-illnesses/
154	Images show a number of mutant sharks with two heads.	false	https://www.snopes.com/fact-check/two-headed-sharks-terrorizing-ocean/
155	"In May 2018, President Donald Trump established a ""religious office"" to give religious groups a ""voice in government."""	True	https://www.snopes.com/fact-check/trump-faith-based-initiative/
156	The browser extension Honey provides coupons for online shoppers and enables consumers to accrue purchase rebates.	True	https://www.snopes.com/fact-check/honey-browser-extension/
157	President Trump intends to nominate Dr. Oz to the Presidential Council on Sport, Fitness and Nutrition.	True	https://www.snopes.com/fact-check/trump-nominating-dr-oz-presidential-council-sport-fitness-nutrition/
158	A video shows a vampire squid turning itself inside out, revealing sharp barbs on the underside of its hood.	True	https://www.snopes.com/fact-check/is-vampire-squid-turning-inside-out/
159	Abraham Lincoln was an accomplished wrestler who was inducted into the Wrestling Hall of Fame with a near-perfect record.	false	https://www.snopes.com/fact-check/is-lincoln-in-wrestling-hall-of-fame/
160	A set of images show a congenital anomaly that resulted in an a hand with eight fingers.	false	https://www.snopes.com/fact-check/real-hand-eight-fingers/
161	An exorcism in 1988 saved a house from destruction during Hurricane Ike in 2008.	false	https://www.snopes.com/fact-check/last-house-standing-hurricane-exorcism/
162	U.S. President Donald Trump has been awarded the 2018 Nobel Peace Prize.	false	https://www.snopes.com/fact-check/donald-trump-nobel-peace-prize/
163	"Netflix announced in April 2018 that they are creating a new series based on the video game ""God of War."""	false	https://www.snopes.com/fact-check/did-netflix-announce-god-of-war-series/
164	"Karl Rove wrote an item known as ""Tactics for Effective Conservative Blogging."""	false	https://www.snopes.com/fact-check/did-karl-rove-write-tactics-conservative-blogging/
165	Hillary Clinton was killed while on a hunting expedition with 'some of Washington’s elite.'	false	https://www.snopes.com/fact-check/hillary-clinton-hunting-expedition/
166	"Pilot Flying J removed American flags from their flagpoles because ""foreigners were offended."""	false	https://www.snopes.com/fact-check/pilot-flying-j-flag-controversy/
167	Each refugee in Canada receives $3,874 every month from the government under the Resettlement Assistance Program.	false	https://www.snopes.com/fact-check/canada-refugee-benefits/
168	Bacteria formed on cut onions and potatoes are responsible for more food poisoning cases than spoiled mayonnaise.	false	https://www.snopes.com/fact-check/cut-onions-contamination/
169	Willie Nelson fell seriously ill in May 2018.	false	https://www.snopes.com/fact-check/willie-nelson-seriously-ill/
170	A new Facebook algorithm only shows posts from about two dozen friends in your newsfeed.	false	https://www.snopes.com/fact-check/new-facebook-algorithm-26-friends/
171	A new Facebook algorithm only shows posts from about two dozen friends in your newsfeed.	false	https://www.snopes.com/fact-check/new-facebook-algorithm-26-friends/
172	The NRA is a tax-exempt nonprofit organization.	True	https://www.snopes.com/fact-check/nra-tax-exempt-non-profit/
173	The White House updated the voice message on the automated telephone comments line to blame Democrats for a government shutdown.	True	https://www.snopes.com/fact-check/white-house-comment-line-trump/
174	Charles and Elizabeth Koch contributed nearly $500,000 to Paul Ryan’s fundraising committee after successfully passing the GOP tax plan in the United States House of Representatives.	True	https://www.snopes.com/fact-check/kochs-contributed-ryan-after-tax/
175	President Trump signed a bill blocking Obama-era background checks on guns for people with mental illnesses.	True	https://www.snopes.com/fact-check/trump-sign-bill-revoking-obama-era-gun-checks-people-mental-illnesses/
176	"Actor Samuel L. Jackson tweeted a lament about overpaid ""modern mumble"" rap artists and underpaid teachers."	false	https://www.snopes.com/fact-check/samuel-l-jackson-rappers-tweet/
177	An optical illusion allows a 3D arrow to appear as if it is always pointing in the same direction (with its mirror reflection showing the opposite direction), even when it is rotated 180 degrees.	True	https://www.snopes.com/fact-check/real-video-arrow-always-points-right/
178	A scientific study shows the death of Alfie Evans was caused by aluminum additives in vaccines.	false	https://www.snopes.com/fact-check/alfie-evans-vaccines/
179	"People who smell the perfume ""Lovely"" are killed either instantly or within three days."	false	https://www.snopes.com/fact-check/are-people-dying-exposure-perfume/
180	"A sign at the United States border and sponsored by the Democratic party informs travelers from Mexico that there's ""lots of free stuff ahead."""	false	https://www.snopes.com/fact-check/is-u-s-border-sign-free-stuff-real/
181	A meme purporting to include an image of a Honduran asylum seeker and “caravan” member named Susana González shows the first woman to be granted asylum in the United States in that group.	false	https://www.snopes.com/fact-check/is-this-first-caravan-member-asylum/
182	"Congresswoman turned pundit Michele Bachmann said ""Kanye is right ... slavery was a choice."""	false	https://www.snopes.com/fact-check/did-michele-bachmann-say-kanye-is-right/
183	Hillary Clinton was killed when she was hit by an out-of-control truck.	false	https://www.snopes.com/fact-check/hillary-clinton-truck-mishap/
184	"Republican candidate for U.S. Senate in California, Patrick Little, has expressed anti-semitic views, including calling for a United States ""free from Jews."""	True	https://www.snopes.com/fact-check/patrick-little-neo-nazi-california/
185	Liberals at the University of Texas called for masculinity to be designated a mental illness	false	https://www.snopes.com/fact-check/university-of-texas-masculinity/
186	A Kentucky business owner found out he had been paying the electric bills of an Ohio River bridge, in addition to his own, for five months.	True	https://www.snopes.com/fact-check/pay-bridge-electrical-bill/
187	Over 500 members of a caravan of asylum seekers traveling through Mexico to the U.S. border at San Diego were arrested in possession of suicide belts.	false	https://www.snopes.com/fact-check/migrant-caravaners-suicide-vests/
188	"Pilot Flying J removed American flags from their flagpoles because ""foreigners were offended."""	false	https://www.snopes.com/fact-check/pilot-flying-j-flag-controversy/
189	Each refugee in Canada receives $3,874 every month from the government under the Resettlement Assistance Program.	false	https://www.snopes.com/fact-check/canada-refugee-benefits/
190	Bacteria formed on cut onions and potatoes are responsible for more food poisoning cases than spoiled mayonnaise.	false	https://www.snopes.com/fact-check/cut-onions-contamination/
